Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2015;A9;B;1;2;24.48;48.71;5057.088;3.313;46.497;3670.547;1829.918;180.362;772.887;62.537;11557.00;505320.00;864.70
2015;A9;Cu;0;1;22.31;64.46;5653.830;2.655;65.309;3885.242;1896.388;198.685;765.481;64.120;11265.00;502640.00;925.90
2015;A9;Cu;0;2;38.04;71.48;5125.216;1.634;36.219;3932.374;1967.859;142.520;784.941;43.002;10961.00;507990.00;886.70
2015;A9;Cu;2;1;39.88;79.62;5506.477;1.885;54.996;3986.406;1980.411;164.450;732.246;52.346;11678.00;507080.00;987.70
2015;A9;Cu;2;2;24.89;65.11;5019.230;1.801;48.856;4018.438;2019.271;139.279;769.746;62.567;11189.00;506720.00;1045.20
2015;A9;Mg;0;1;24.14;70.26;4782.290;1.704;41.769;4050.413;1636.270;173.855;739.395;63.567;10771.00;503680.00;863.90
2015;A9;Mg;0;2;22.53;41.31;5102.448;2.587;76.933;3802.210;1509.679;149.999;764.353;58.668;11878.00;507640.00;831.90
2015;A9;Mg;12;1;39.03;68.21;5894.642;2.863;73.872;4215.617;1777.568;155.664;799.415;44.973;12011.00;505180.00;969.90
2015;A9;Mg;12;2;29.91;54.12;5136.784;4.425;84.183;3631.391;1835.199;154.977;728.588;45.698;10217.00;505530.00;831.80
2015;10;N;0;1;7.19;91.58;5123.431;3.184;158.909;4148.264;1055.396;176.108;661.773;43.019;5793.50;502740.00;570.20
2015;10;N;0;2;6.45;87.09;5711.740;0.742;85.091;4448.550;1467.003;203.607;685.851;46.764;5857.30;498220.00;513.40
2015;10;N;15;1;16.27;78.12;5826.230;0.953;115.384;4282.588;1531.808;193.369;683.051;41.376;7018.70;494660.00;631.00
2015;10;N;15;2;17.37;103.19;5703.231;0.729;63.573;4531.400;1466.396;244.376;655.003;42.479;6580.00;494860.00;620.50
2015;10;N;30;1;24.6;79.39;5307.086;0.560;81.189;4249.944;1410.371;172.203;608.207;53.388;8123.10;499360.00;658.50
2015;10;N;30;2;18.87;69.19;4886.945;0.797;42.772;3898.254;1478.609;185.361;630.518;43.602;8384.70;495340.00;515.60
2015;10;N;45;1;34.24;94.78;4994.556;0.764;41.683;4310.054;1326.025;168.756;678.062;49.030;10500.00;502230.00;590.80
2015;10;N;45;2;26.08;72.00;5026.021;0.937;16.529;4321.691;1415.217;162.478;649.887;41.365;10772.00;500360.00;915.60
2015;10;N;60;1;49.71;54.99;4749.072;0.862;12.733;4074.503;1389.089;153.455;702.297;42.493;10830.00;499280.00;895.20
2015;10;N;60;2;20.09;68.96;4862.402;0.798;14.919;3915.520;1409.776;189.696;701.984;40.246;11259.00;497260.00;750.70
2015;10;P;0;1;34.13;70.26;5029.833;0.883;37.342;4588.278;1388.143;189.709;694.386;42.040;10993.00;496780.00;879.30
2015;10;P;0;2;42.34;60.88;4573.648;0.945;11.419;4182.800;1319.384;173.955;670.430;51.491;11011.00;499290.00;854.20
2015;10;P;15;1;28.34;60.52;5025.899;0.734;30.175;4602.465;1380.992;157.812;718.270;42.901;10489.00;493960.00;923.10
2015;10;P;15;2;33.07;89.81;5292.470;1.090;24.162;4672.453;1497.625;190.921;778.664;54.357;11174.00;498960.00;1096.50
2015;10;P;30;1;42.16;47.02;4591.213;0.761;23.565;4024.574;1414.865;151.830;746.634;46.460;10256.00;500800.00;553.00
2015;10;P;30;2;35.32;75.12;5265.739;1.039;40.083;4121.565;1572.228;271.278;810.982;58.169;11011.00;496930.00;842.70
